ACTION,GOTO
ClosureId,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Expressions1q,Identifier,dig,else,idt,if,int,return,void,while,{,},#,ActualParameterList,ActualParameters,AdditiveExpression,AssignmentStatement,Expression,Expressions,FTYPE,Factor,FormalParameters,FunctionCall,IfStatement,InternalDeclaration,InternalVariableDeclaration,OperatorFactor,OperatorTerm,Parameter,ParameterList,Parameters,Program,RelopAdditiveExpression,ReturnStatement,Start,Statement,StatementBlock,StatementSequence,Term,Type,WhileStatement,relop
45,,,,,,,,,,,,,,,,,,,,r24,r24,,r24,,r24,,r24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,s63,,,,,,,,r27,s64,s65,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,70
47,,,,,,,,,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,r43,,,s72,r43,,r43,s73,r43,r43,r43,,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,
49,r51,s75,,r51,r51,,r51,r51,r51,r51,r51,,r51,r51,r51,,,,,,,,,,,,,,,,,,,,76,,,77,,,,,,,,,,,,,,,,,,,
50,r37,,,,s78,,s79,,r37,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,
51,r49,,,r49,r49,,r49,r49,r49,r49,r49,,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,56,,81,,,58,,,,,,,,,,,,,,,,,,60,,,
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,56,,83,,,58,,,,,,,,,,,,,,,,,,60,,,
56,s63,,r27,,,,,,,s64,s65,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,85
57,,,s86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,r43,,r43,s87,r43,,r43,s88,,r43,r43,,r43,r43,r43,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,
59,r51,s90,r51,r51,r51,,r51,r51,,r51,r51,,r51,r51,r51,,,,,,,,,,,,,,,,,,,,91,,,92,,,,,,,,,,,,,,,,,,,
60,r37,,r37,,s93,,s94,,,r37,r37,,r37,r37,r37,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,
61,r49,,r49,r49,r49,,r49,r49,,r49,r49,,r49,r49,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,s96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,r36,,,,,,,,,,,,,,,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,r32,,,,,,,,,,,,,,,r32,r32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,r34,,,,,,,,,,,,,,,r34,r34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,r35,,,,,,,,,,,,,,,r35,r35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,r31,,,,,,,,,,,,,,,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,r33,,,,,,,,,,,,,,,r33,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,s63,,,,,,,,r28,s64,s65,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
70,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,98,,,,,48,,,,,,,,,,,,,,,,,,50,,,
71,,,,,,,,,,,,,,,,,,,,r25,r25,,r25,,r25,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,
73,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,
74,r44,,,s101,r44,,r44,s102,r44,r44,r44,,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,s103,s104,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,105,106,107,,108,,,109,,,,,,,,,,,,,,,,,,111,,,
76,r52,,,r52,r52,,r52,r52,r52,r52,r52,,r52,r52,r52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,r53,,,r53,r53,,r53,r53,r53,r53,r53,,r53,r53,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,113,,,
79,,s44,,,,,,,,,,,,,,,s49,s51,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,114,,,
80,r38,,,,s115,,s116,,r38,r38,r38,,r38,r38,r38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,s117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,r26,r26,,r26,,r26,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,s63,,r28,,,,,,,s64,s65,,s66,s67,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
85,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,120,,,,,58,,,,,,,,,,,,,,,,,,60,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,,s122,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,,
87,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,
88,,s55,,,,,,,,,,,,,,,s59,s61,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,
89,r44,,r44,s125,r44,,r44,s126,,r44,r44,,r44,r44,r44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,s103,s127,,,,,,,,,,,,,,s110,s112,,,,,,,,,,,105,128,107,,108,,,109,,,,,,,,,,,,,,,,,,111,,,
