ACTION,GOTO
ClosureId,!=,(,),*,+,",",-,/,;,<,<=,=,==,>,>=,Expressions1q,Identifier,dig,else,idt,if,int,return,void,while,{,},#,ActualParameterList,ActualParameters,AdditiveExpression,AssignmentStatement,Expression,Expressions,FTYPE,Factor,FormalParameters,FunctionCall,IfStatement,InternalDeclaration,InternalVariableDeclaration,OperatorFactor,OperatorTerm,Parameter,ParameterList,Parameters,Program,RelopAdditiveExpression,ReturnStatement,Start,Statement,StatementBlock,StatementSequence,Term,Type,WhileStatement,relop
179,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,,,,,,20,,,,,,,21,,,,,,,,,,25,,26,,192,,,28,
180,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,s193,,,,,20,,,,,,,21,,,,,,,,,,25,,39,,,,,28,
181,,,,,,,,,,,,,,,,,,,,r22,r22,,r22,,r22,,r22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,s194,,,,,20,,,,,,,21,,,,,,,,,,25,,39,,,,,28,
183,,,,,,,,,,,,,,,,,,,r11,r11,r11,,r11,,r11,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,r30,,,,,r30,,,,r30,r30,,r30,r30,r30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,r58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,r9,,,,,,,,,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,r47,,,r47,r47,r47,r47,r47,,r47,r47,,r47,r47,r47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,r48,,,r48,r48,r48,r48,r48,,r48,r48,,r48,r48,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,r54,,,r54,r54,r54,r54,r54,,r54,r54,,r54,r54,r54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,r41,,,,r41,r41,r41,,,r41,r41,,r41,r41,r41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,r42,,,,r42,r42,r42,,,r42,r42,,r42,r42,r42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,s29,s30,,s32,,s33,,s195,,,,,20,,,,,,,21,,,,,,,,,,25,,39,,,,,28,
193,,,,,,,,,,,,,,,,,,,,r11,r11,,r11,,r11,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,r10,r10,r10,,r10,,r10,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,r10,r10,,r10,,r10,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
